Sequence,Date,Dow_Jones
1,1/1/2017,19963.80078
2,1/8/2017,19885.73047
3,1/15/2017,19827.25
4,1/22/2017,20093.7793
5,1/29/2017,20071.46094
6,2/5/2017,20269.36914
7,2/12/2017,20624.05078
8,2/19/2017,20821.75977
9,2/26/2017,21005.71094
10,3/5/2017,20902.98047
11,3/12/2017,20914.61914
12,3/19/2017,20596.7207
13,3/26/2017,20663.2207
14,4/2/2017,20656.09961
15,4/9/2017,20453.25
16,4/16/2017,20547.75977
17,4/23/2017,20940.50977
18,4/30/2017,21006.93945
19,5/7/2017,20896.60938
20,5/14/2017,20804.83984
21,5/21/2017,21080.2793
22,5/28/2017,21206.28906
23,6/4/2017,21271.9707
24,6/11/2017,21384.2793
25,6/18/2017,21394.75977
26,6/25/2017,21349.63086
27,7/2/2017,21414.33984
28,7/9/2017,21637.74023
29,7/16/2017,21580.07031
30,7/23/2017,21830.31055
31,7/30/2017,22092.81055
32,8/6/2017,21858.32031
33,8/13/2017,21674.50977
34,8/20/2017,21813.66992
35,8/27/2017,21987.56055
36,9/3/2017,21797.78906
37,9/10/2017,22268.33984
38,9/17/2017,22349.58984
39,9/24/2017,22405.08984
40,10/1/2017,22773.66992
41,10/8/2017,22871.7207
42,10/15/2017,23328.63086
43,10/22/2017,23434.18945
44,10/29/2017,23539.18945
45,11/5/2017,23422.21094
46,11/12/2017,23358.24023
47,11/19/2017,23557.99023
48,11/26/2017,24231.58984
49,12/3/2017,24329.16016
50,12/10/2017,24651.74023
51,12/17/2017,24754.06055
52,12/24/2017,24719.2207
