"","Age","Gender","OwnHome","Married","Location","Salary","Children","History","Catalogs","AmountSpent"
"1",2,1,"Own",2,"Far",47500,0,"High",6,755
"2",1,2,"Rent",2,"Close",63600,0,"High",6,1318
"3",3,1,"Rent",2,"Close",13500,0,"Low",18,296
"4",1,2,"Own",1,"Close",85600,1,"High",18,2436
"5",1,1,"Own",2,"Close",68400,0,"High",12,1304
"6",3,2,"Own",1,"Close",30400,0,"Low",6,495
"7",1,1,"Rent",2,"Close",48100,0,"Medium",12,782
"8",1,2,"Own",2,"Close",68400,0,"High",18,1155
"9",1,1,"Own",1,"Close",51900,3,"Low",6,158
"10",2,2,"Own",1,"Far",80700,0,NA,18,3034
"11",3,2,"Rent",1,"Close",43700,1,NA,12,927
"12",1,2,"Own",1,"Far",111800,3,"High",18,2065
"13",1,1,"Own",1,"Close",44100,1,"Medium",24,704
"14",1,2,"Own",1,"Close",111400,0,"High",12,2136
"15",2,1,"Own",1,"Far",110000,0,"High",24,5564
"16",1,1,"Own",1,"Far",83100,1,NA,12,2766
"17",2,1,"Own",1,"Close",82800,0,"High",24,3010
"18",1,2,"Own",1,"Close",90100,0,"High",18,1956
"19",1,2,"Rent",2,"Close",38600,1,"Low",18,542
"20",2,1,"Rent",2,"Far",14000,0,"Low",12,410
"21",3,1,"Rent",2,"Far",14300,2,"Low",6,194
"22",3,2,"Rent",1,"Close",49800,0,"Medium",12,827
"23",2,1,"Rent",1,"Far",60200,0,"High",18,2328
"24",3,2,"Rent",1,"Far",43500,1,"Medium",12,808
"25",3,1,"Rent",1,"Close",41700,1,NA,6,521
"26",1,1,"Own",1,"Close",92300,3,"Low",18,655
"27",1,2,"Own",2,"Close",62800,3,NA,6,707
"28",1,1,"Rent",1,"Far",72900,0,"High",18,2075
"29",1,1,"Rent",1,"Close",66900,2,"Medium",12,769
"30",3,2,"Rent",2,"Close",21700,1,NA,18,774
"31",2,1,"Rent",1,"Close",39700,0,"Medium",12,573
"32",1,2,"Rent",1,"Far",72200,1,"High",12,2082
"33",1,1,"Rent",1,"Close",0,3,NA,24,NA
"34",1,2,"Own",1,"Close",104100,0,"High",24,2636
"35",1,2,"Rent",2,"Far",67700,0,"High",12,2226
"36",1,1,"Own",2,"Close",27000,2,"Low",6,183
"37",1,1,"Own",2,"Far",64100,2,"High",24,1595
"38",1,2,"Rent",2,"Close",47000,1,"Medium",12,584
"39",2,1,"Own",1,"Close",41600,0,NA,18,982
"40",2,1,"Rent",2,"Close",20100,0,"Low",24,576
"41",1,2,"Own",2,"Close",64000,3,"Low",12,410
"42",1,1,"Own",1,"Far",96800,3,NA,24,3082
"43",1,2,"Rent",1,"Close",76200,1,NA,24,2437
"44",2,1,"Rent",1,"Far",81500,0,"High",18,3655
"45",1,1,"Own",2,"Close",49600,1,"Medium",12,844
"46",2,1,"Own",1,"Close",111500,0,"High",18,2510
"47",1,2,"Own",1,"Close",77700,0,NA,6,983
"48",3,2,"Own",1,"Close",58900,0,NA,18,1215
"49",1,2,"Own",1,"Close",126500,2,"High",18,2000
"50",1,1,"Own",1,"Close",83300,1,"High",24,2574
"51",1,1,"Own",1,"Close",90500,1,"High",6,1116
"52",1,1,"Own",1,"Far",87200,0,"High",18,3604
"53",1,1,"Own",1,"Close",105300,1,NA,24,3360
"54",1,1,"Own",2,"Far",56000,3,"Medium",6,NA
"55",1,1,"Rent",2,"Close",46600,0,"Medium",24,906
"56",2,2,"Rent",1,"Close",69800,0,"High",24,2764
"57",1,2,"Own",2,"Close",60300,0,"High",24,1263
"58",3,2,"Rent",1,"Close",67800,0,"High",12,1084
"59",1,2,"Rent",2,"Close",42300,0,"Medium",24,1051
"60",3,1,"Own",1,"Far",33700,0,NA,6,614
"61",1,2,"Own",2,"Close",62700,2,"Medium",12,704
"62",3,1,"Own",2,"Close",25900,2,NA,12,NA
"63",3,1,"Own",2,"Close",15600,1,"Low",6,136
"64",2,1,"Own",2,"Close",14600,0,"Low",24,468
"65",2,1,"Own",1,"Close",62600,0,"High",6,565
"66",3,2,"Rent",1,"Close",66700,0,NA,18,1310
"67",1,2,"Own",1,"Far",72500,0,NA,24,2595
"68",3,1,"Rent",2,"Far",13200,0,NA,24,358
"69",1,1,"Own",2,"Close",51300,0,"Medium",24,1424
"70",1,2,"Own",2,"Far",72300,0,"High",24,4182
"71",3,1,"Rent",2,"Close",15600,0,NA,12,468
"72",1,1,"Own",1,"Far",90400,1,"High",18,2924
"73",1,2,"Own",2,"Far",71500,0,NA,6,964
"74",3,2,"Rent",2,"Close",14400,0,NA,24,615
"75",3,2,"Rent",2,"Close",15000,3,"Low",6,38
"76",1,2,"Own",2,"Close",57600,1,NA,6,1006
"77",3,1,"Rent",1,"Close",0,3,"Low",12,307
"78",1,2,"Own",1,"Far",84300,2,"High",18,1648
"79",3,1,"Own",2,"Close",24400,1,"Low",6,220
"80",3,1,"Rent",2,"Close",22100,2,"Low",18,280
"81",1,2,"Rent",1,"Far",48800,2,NA,12,1647
"82",1,1,"Own",1,"Close",74700,1,"Medium",6,704
"83",3,1,"Rent",2,"Far",32400,1,"Medium",24,920
"84",2,1,"Own",2,"Close",11400,0,NA,6,258
"85",1,2,"Own",1,"Close",127000,0,NA,12,1821
"86",1,2,"Rent",2,"Close",47200,0,"Medium",18,1587
"87",1,1,"Own",2,"Close",48700,2,"Low",12,528
"88",3,2,"Rent",2,"Far",20400,0,"Medium",18,867
"89",1,2,"Rent",2,"Close",39000,0,NA,6,643
"90",3,1,"Rent",2,"Close",12900,1,"Low",6,107
"91",1,1,"Rent",1,"Far",67300,1,"High",18,1513
"92",2,2,"Own",1,"Close",134500,0,"High",24,4558
"93",2,2,"Own",1,"Close",75500,0,"High",6,741
"94",2,1,"Own",1,"Far",33600,2,"Medium",12,805
"95",3,1,"Rent",2,"Close",16300,1,NA,12,470
"96",3,2,"Rent",1,"Close",27400,1,"Low",6,278
"97",1,1,"Own",1,"Close",110400,3,"Low",24,1093
"98",3,1,"Rent",2,"Far",21100,1,"Low",6,470
"99",1,2,"Own",1,"Close",81200,0,"High",24,1856
"100",1,2,"Rent",1,"Far",87100,2,"High",18,NA
"101",3,1,"Rent",2,"Far",21700,3,NA,24,708
"102",1,1,"Rent",2,"Close",42200,0,NA,18,1753
"103",1,2,"Rent",2,"Far",59000,0,"High",24,3044
"104",1,1,"Own",2,"Close",52700,2,"Low",18,855
"105",3,2,"Own",2,"Close",20900,0,"Low",24,550
"106",1,2,"Own",1,"Far",90700,3,"High",24,2265
"107",2,1,"Own",1,"Far",91800,0,NA,24,2452
"108",3,1,"Own",2,"Far",27900,0,"Medium",18,1184
"109",2,1,"Own",1,"Close",70700,0,"High",24,2150
"110",1,2,"Own",1,"Close",79600,2,NA,6,1575
"111",1,2,"Rent",1,"Close",96400,1,"High",24,1822
"112",1,1,"Own",2,"Close",46600,2,NA,18,1153
"113",2,2,"Own",1,"Close",106600,0,"High",12,1877
"114",1,1,"Rent",1,"Close",104900,3,"Low",6,450
"115",2,2,"Rent",2,"Close",56300,0,"Medium",6,873
"116",3,1,"Rent",2,"Close",14800,1,"Low",6,209
"117",2,2,"Own",1,"Close",58300,0,"Medium",24,1472
"118",1,2,"Own",2,"Far",70200,0,"High",12,1702
"119",2,2,"Own",1,"Far",59700,0,"High",18,1857
"120",3,2,"Rent",2,"Close",25800,0,NA,6,451
"121",3,1,"Rent",2,"Close",12000,0,"Low",24,344
"122",1,2,"Rent",2,"Far",51900,0,"High",18,1492
"123",1,1,"Own",2,"Far",66800,3,NA,24,2098
"124",1,2,"Own",1,"Close",105300,1,NA,18,3505
"125",3,1,"Rent",2,"Far",13800,3,"Low",6,127
"126",3,2,"Rent",2,"Close",14800,3,NA,12,436
"127",1,1,"Own",1,"Far",44200,0,"High",24,2524
"128",3,2,"Rent",2,"Close",10400,0,NA,18,189
"129",1,1,"Own",2,"Close",35200,0,"Medium",12,607
"130",3,1,"Rent",2,"Far",16100,0,NA,6,202
"131",1,2,"Own",1,"Close",113000,2,"Medium",18,1554
"132",1,2,"Own",1,"Close",63300,2,NA,6,633
"133",3,2,"Rent",2,"Close",19100,0,NA,6,176
"134",1,1,"Own",1,"Close",93400,2,NA,24,3079
"135",2,1,"Rent",1,"Far",52500,0,"High",24,2038
"136",1,1,"Rent",1,"Far",45400,3,"Medium",24,1203
"137",3,1,"Own",2,"Far",21400,3,NA,6,326
"138",1,1,"Own",2,"Close",53700,3,"Low",12,235
"139",3,1,"Own",1,"Far",68000,0,"High",24,3688
"140",3,2,"Rent",2,"Close",17400,0,NA,12,332
"141",3,1,"Rent",2,"Close",14600,1,"Low",6,143
"142",2,1,"Own",1,"Far",100100,0,"High",12,3104
"143",1,2,"Own",1,"Far",103700,1,"High",24,2339
"144",3,1,"Rent",2,"Far",10800,3,"Low",6,123
"145",1,1,"Own",1,"Close",81700,3,"Low",24,879
"146",2,1,"Rent",2,"Close",21400,0,"Low",18,498
"147",2,1,"Own",1,"Close",114800,0,"High",18,3596
"148",2,1,"Own",1,"Far",67900,0,"High",24,2925
"149",1,2,"Own",1,"Close",53700,1,NA,12,1081
"150",3,1,"Rent",2,"Far",11400,3,NA,12,312
"151",3,2,"Rent",1,"Close",34300,3,NA,12,1297
"152",3,1,"Rent",2,"Close",16400,1,"Low",12,218
"153",1,1,"Own",1,"Far",109800,0,"High",18,4279
"154",1,2,"Own",2,"Close",64200,0,"High",18,1642
"155",3,2,"Rent",2,"Close",17000,0,NA,18,581
"156",1,1,"Rent",2,"Close",41400,3,"Low",6,223
"157",1,1,"Own",2,"Close",49100,2,"Low",6,474
"158",2,1,"Own",2,"Far",42600,0,"High",24,1790
"159",3,1,"Rent",2,"Close",11900,1,"Low",6,143
"160",1,2,"Own",1,"Far",113600,2,"High",18,3237
"161",1,2,"Own",2,"Close",52900,1,NA,24,2316
"162",3,1,"Rent",2,"Close",14300,1,NA,18,458
"163",3,2,"Rent",2,"Close",21000,0,"Low",24,646
"164",1,2,"Own",2,"Far",59600,2,"Medium",18,1217
"165",1,1,"Rent",2,"Close",39700,3,"Low",12,NA
"166",2,2,"Own",1,"Close",51200,0,"Medium",12,1293
"167",1,1,"Own",1,"Close",88200,0,NA,24,2749
"168",1,2,"Own",1,"Far",122100,0,"High",12,2408
"169",2,1,"Rent",1,"Close",84800,0,"High",18,2624
"170",1,2,"Own",1,"Far",140000,0,"High",12,4894
"171",2,1,"Own",2,"Close",28500,0,"Low",24,621
"172",1,2,"Rent",2,"Close",60300,0,"High",6,701
"173",3,1,"Rent",1,"Far",51900,0,NA,6,780
"174",1,2,"Own",2,"Close",60200,0,"Medium",12,1365
"175",1,2,"Own",1,"Far",81200,0,"High",12,2693
"176",2,2,"Own",1,"Close",73100,0,"High",6,1582
"177",2,2,"Own",2,"Close",45700,0,"Medium",18,724
"178",2,1,"Rent",2,"Close",28900,0,"Low",12,830
"179",3,1,"Rent",1,"Close",60100,0,NA,18,1594
"180",1,1,"Own",1,"Close",84800,1,NA,12,1826
"181",2,1,"Own",1,"Close",35000,0,"Medium",6,473
"182",3,1,"Rent",1,"Close",61700,0,NA,12,1161
"183",2,1,"Rent",1,"Close",46900,0,"Medium",6,703
"184",1,1,"Own",1,"Close",123600,1,NA,12,1892
"185",3,2,"Rent",1,"Close",45800,0,"Medium",6,489
"186",1,2,"Own",1,"Far",77800,1,"High",18,1813
