Question,Segment_Type,Segment_Description,Answer,Count,Percentage
What social platform has influenced your online shopping most?,Mobile,Global results,Facebook,548,0.205
What social platform has influenced your online shopping most?,Mobile,Global results,Twitter,179,0.067
What social platform has influenced your online shopping most?,Web,Web,Facebook,0,0
What social platform has influenced your online shopping most?,Web,Web,Twitter,0,0
What social platform has influenced your online shopping most?,Gender,Female voters,Facebook,222,0.199
What social platform has influenced your online shopping most?,Gender,Female voters,Twitter,57,0.051
What social platform has influenced your online shopping most?,Gender,Male voters,Facebook,326,0.209
What social platform has influenced your online shopping most?,Gender,Male voters,Twitter,122,0.078
What social platform has influenced your online shopping most?,University,University of Delaware,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Delaware,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Facebook,1,0.25
What social platform has influenced your online shopping most?,University,University of Pennsylvania,Twitter,0,0
What social platform has influenced your online shopping most?,University,Students of New York,Facebook,0,0
What social platform has influenced your online shopping most?,University,Students of New York,Twitter,5,0.111
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Central Arkansas,Twitter,0,0
What social platform has influenced your online shopping most?,University,Northeastern University,Facebook,1,0.5
What social platform has influenced your online shopping most?,University,Northeastern University,Twitter,0,0
What social platform has influenced your online shopping most?,University,West Virginia University ,Facebook,0,0
What social platform has influenced your online shopping most?,University,West Virginia University ,Twitter,0,0
What social platform has influenced your online shopping most?,University,Northern Arizona University,Facebook,1,1
What social platform has influenced your online shopping most?,University,Northern Arizona University,Twitter,0,0
What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Facebook,1,1
What social platform has influenced your online shopping most?,University,"University of California, Santa Barbara",Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Memphis,Facebook,0,0
What social platform has influenced your online shopping most?,University,University of Memphis,Twitter,0,0
What social platform has influenced your online shopping most?,University,Auburn University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Auburn University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Randolph-Macon College,Facebook,1,0.143
What social platform has influenced your online shopping most?,University,Randolph-Macon College,Twitter,1,0.143
What social platform has influenced your online shopping most?,University,Wisconsin HS,Facebook,0,0
What social platform has influenced your online shopping most?,University,Wisconsin HS,Twitter,0,0
What social platform has influenced your online shopping most?,University,Penn State University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Penn State University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Facebook,1,0.25
What social platform has influenced your online shopping most?,University,Case Western Reserve University,Twitter,0,0
What social platform has influenced your online shopping most?,University,Rutgers University,Facebook,0,0
What social platform has influenced your online shopping most?,University,Rutgers University,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Oregon,Facebook,1,0.25
What social platform has influenced your online shopping most?,University,University of Oregon,Twitter,0,0
What social platform has influenced your online shopping most?,University,University of Toronto,Facebook,1,0.333
What social platform has influenced your online shopping most?,University,University of Toronto,Twitter,0,0
